               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075881,            0.033067,            0.018476,           0.0052436,              0.3265,           0.0049405,           0.0014843,            0.033187,            0.023621,           0.0078569,              0.0016,              0.0016,              0.0856
                   1,            0.055307,            0.035098,            0.016598,             0.16124,             0.20171,             0.14611,            0.042705,            0.021868,            0.021264,           0.0074914,           0.0031693,           0.0031693,            0.070169
                   2,            0.054463,            0.031379,            0.016418,             0.34323,                 0.6,             0.39301,             0.14436,            0.021469,            0.016778,           0.0058861,            0.004604,            0.004604,            0.054604
                   3,            0.040627,             0.02941,            0.012707,              0.5805,             0.58974,             0.61209,              0.2877,            0.017672,            0.016362,           0.0045304,            0.005904,            0.005904,            0.038904
                   4,             0.04602,            0.026236,            0.011287,             0.38842,             0.75064,             0.61239,             0.26174,            0.019096,             0.01257,           0.0030579,           0.0070694,           0.0070694,            0.023069
                   5,            0.045281,            0.022234,           0.0079324,             0.57193,             0.69316,             0.71078,             0.37219,            0.028221,           0.0091697,           0.0018051,             0.00802,             0.00802,             0.00802
                   6,            0.050963,            0.020017,           0.0072813,              0.5438,             0.63162,             0.61598,             0.29623,            0.025156,           0.0074871,           0.0053702,             0.00802,             0.00802,             0.00802
                   7,             0.04549,            0.020253,           0.0057065,             0.87129,             0.88831,             0.92298,             0.56732,            0.024157,           0.0071737,          0.00092975,            0.007624,            0.007624,            0.007624
                   8,            0.045951,            0.019584,           0.0056092,             0.90262,             0.92051,             0.97394,             0.44219,            0.021129,            0.006882,           0.0016047,            0.007228,            0.007228,            0.007228
                   9,            0.045309,            0.018156,           0.0050216,             0.83972,             0.91057,             0.99475,             0.74235,            0.024361,           0.0069752,           0.0016091,            0.006832,            0.006832,            0.006832
                  10,            0.048982,            0.017587,           0.0061597,             0.97506,             0.91881,             0.96203,             0.70104,            0.020299,           0.0058461,           0.0019286,            0.006436,            0.006436,            0.006436
                  11,            0.045854,            0.016273,            0.004283,             0.99288,              0.8981,             0.98102,             0.67299,            0.019331,           0.0054597,          0.00079719,             0.00604,             0.00604,             0.00604
                  12,            0.045476,             0.01687,           0.0037118,             0.72558,             0.97778,             0.92289,             0.69053,            0.019488,           0.0054312,          0.00059007,            0.005644,            0.005644,            0.005644
                  13,            0.041567,            0.016593,           0.0036275,             0.75332,             0.90614,             0.92598,             0.55457,            0.021489,           0.0055498,           0.0005272,            0.005248,            0.005248,            0.005248
                  14,            0.038236,            0.016027,           0.0037196,              0.7655,             0.96667,             0.94981,             0.50396,            0.017068,           0.0056316,          0.00058518,            0.004852,            0.004852,            0.004852
                  15,            0.036815,            0.015986,           0.0026718,             0.89207,             0.91111,             0.96709,             0.71682,            0.017872,           0.0054191,          0.00063442,            0.004456,            0.004456,            0.004456
                  16,            0.036606,             0.01541,           0.0026135,             0.92385,             0.89487,             0.96321,             0.55159,            0.018075,           0.0055216,          0.00061856,             0.00406,             0.00406,             0.00406
                  17,            0.035115,            0.014385,            0.002178,             0.96033,             0.87772,             0.95804,             0.73335,            0.015588,           0.0057011,          0.00050491,            0.003664,            0.003664,            0.003664
                  18,             0.03587,            0.015047,           0.0036247,             0.95587,             0.80598,             0.91295,             0.74079,            0.015125,           0.0060685,          0.00045291,            0.003268,            0.003268,            0.003268
                  19,             0.03276,            0.014862,           0.0025039,                   1,             0.85701,             0.95577,             0.79253,            0.014083,           0.0056408,          0.00050841,            0.002872,            0.002872,            0.002872
                  20,            0.034972,            0.014695,           0.0033847,             0.99678,                   1,               0.995,             0.83789,           0.0092698,           0.0051126,          0.00068567,            0.002476,            0.002476,            0.002476
                  21,            0.029093,            0.014904,           0.0020392,             0.99498,             0.98889,             0.99418,             0.82598,            0.010245,           0.0046943,          0.00090016,             0.00208,             0.00208,             0.00208
                  22,            0.026846,            0.013502,           0.0029396,             0.98449,             0.98887,               0.994,             0.79636,            0.011474,           0.0044627,          0.00086393,            0.001684,            0.001684,            0.001684
                  23,            0.029466,            0.013788,           0.0035855,             0.99303,             0.98899,               0.995,             0.79096,           0.0095275,           0.0043677,           0.0007185,            0.001288,            0.001288,            0.001288
                  24,             0.02432,            0.014865,           0.0018653,             0.99832,             0.98896,               0.995,              0.8109,           0.0079392,           0.0042415,          0.00066971,            0.000892,            0.000892,            0.000892
